Thread ID,Client IP Address,Client Port,User Latitud,User Longitud
Hello,192.168.0.10,33692,Hello
0,192.168.0.10,33692,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,Hello
9,192.168.0.10,59100,4.7577887,-74.0371484
7,192.168.0.10,35050,4.7577887,-74.0371484
5,192.168.0.10,33692,4.7577887,-74.0371484
0,192.168.0.10,33692,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,8
9,192.168.0.10,59100,4.7577887,-74.0371484
7,192.168.0.10,35050,4.7577887,-74.0371484
5,192.168.0.10,33692,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,8
7,192.168.0.10,35050,4.7577887,-74.0371484
9,192.168.0.10,59100,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,33692,4.7577887,-74.0371484
5,192.168.0.10,33692,0
4.7577887,-74.0371484,192.168.0.10,55834,8
0,192.168.0.10,33692,4.7577887,-74.0371484
5,192.168.0.10,33692,4.7577887,-74.0371484
9,192.168.0.10,59100,4.7577887,-74.0371484
7,192.168.0.10,35050,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,8
7,192.168.0.10,35050,4.7577887,-74.0371484
0,192.168.0.10,33692,4.7577887,-74.0371484
9,192.168.0.10,59100,4.7577887,-74.0371484
5,192.168.0.10,33692,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,8
0,192.168.0.10,33692,4.7577887,-74.0371484
7,192.168.0.10,35050,4.7577887,-74.0371484
5,192.168.0.10,33692,4.7577887,-74.0371484
9,192.168.0.10,59100,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,8
0,192.168.0.10,33692,4.7577887,-74.0371484
9,192.168.0.10,59100,4.7577887,-74.0371484
7,192.168.0.10,35050,4.7577887,-74.0371484
5,192.168.0.10,33692,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,8
9,192.168.0.10,59100,4.7577887,-74.0371484
0,192.168.0.10,33692,4.7577887,-74.0371484
5,192.168.0.10,33692,4.7577887,-74.0371484
7,192.168.0.10,35050,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,8
7,192.168.0.10,35050,4.7577887,-74.0371484
5,192.168.0.10,33692,4.7577887,-74.0371484
9,192.168.0.10,59100,4.7577887,-74.0371484
0,192.168.0.10,33692,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,8
7,192.168.0.10,35050,4.7577887,-74.0371484
0,192.168.0.10,33692,4.7577887,-74.0371484
9,192.168.0.10,59100,4.7577887,-74.0371484
5,192.168.0.10,33692,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,8
9,192.168.0.10,59100,4.7577887,-74.0371484
7,192.168.0.10,35050,4.7577887,-74.0371484
0,192.168.0.10,33692,4.7577887,-74.0371484
5,192.168.0.10,33692,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,8
5,192.168.0.10,33692,4.7577887,-74.0371484
7,192.168.0.10,35050,4.7577887,-74.0371484
9,192.168.0.10,59100,4.7577887,-74.0371484
0,192.168.0.10,33692,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,8
7,192.168.0.10,35050,4.7577887,-74.0371484
5,192.168.0.10,33692,4.7577887,-74.0371484
0,192.168.0.10,33692,4.7577887,-74.0371484
9,192.168.0.10,59100,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,8
7,192.168.0.10,35050,4.7577887,-74.0371484
9,192.168.0.10,59100,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,33692,4.7577887,-74.0371484
5,192.168.0.10,33692,0
4.7577887,-74.0371484,192.168.0.10,55834,8
7,192.168.0.10,35050,4.7577887,-74.0371484
0,192.168.0.10,33692,4.7577887,-74.0371484
5,192.168.0.10,33692,4.7577887,-74.0371484
9,192.168.0.10,59100,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,55834,8
7,192.168.0.10,35050,4.7577887,-74.0371484
4.7577887,-74.0371484,192.168.0.10,33692,4.7577887,-74.0371484
9,192.168.0.10,59100,4.7577887,-74.0371484
5,192.168.0.10,33692,0
Bye,192.168.0.10,55834,8
