Thread ID,Client IP Address,Client Port,User Latitud,User Longitud
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
0,192.168.0.10,34942,4.7565626,-74.0378409
4,192.168.0.10,50051,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
4,192.168.0.10,50051,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
4,192.168.0.10,50051,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
4,192.168.0.10,50051,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
4,192.168.0.10,50051,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
4,192.168.0.10,50051,4.7564867,-74.0379201
4,192.168.0.10,50051,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
4,192.168.0.10,50051,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
4,192.168.0.10,50051,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
4,192.168.0.10,50051,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
4,192.168.0.10,50051,4.7564867,-74.0379201
4,192.168.0.10,50051,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
4,192.168.0.10,50051,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
3,192.168.0.10,53847,4.7564867,-74.0379201
4,192.168.0.10,50051,4.7564867,-74.0379201
1,192.168.0.10,52543,4.7564867,-74.0379201
